Grains | Cretaceous | TimSub | The age of this deep water Grains is considered to be Cretaceous
Charophyta | Aptian | TimSub | The age of this deep water Charophyta is considered to be Aptian
Charophyta | Albian | TimSub | The age of this deep water Charophyta is considered to be Albian
Charophyta | Cenomanian | TimSub | The age of this deep water Charophyta is considered to be Cenomanian
Charophyta | Turonian | TimSub | The age of this deep water Charophyta is considered to be Turonian
Charophyta | Coniacian | TimSub | The age of this deep water Charophyta is considered to be Coniacian
Charophyta | Santonian | TimSub | The age of this deep water Charophyta is considered to be Santonian
Charophyta | Campanian | TimSub | The age of this deep water Charophyta is considered to be Campanian
Charophyta | Maastrichtian | TimSub | The age of this deep water Charophyta is considered to be Maastrichtian
Cysts | Cretaceous | TimSub | The age of this deep water Cysts is considered to be Cretaceous
Cysts | Berriasian | TimSub | The age of this deep water Cysts is considered to be Berriasian
Cysts | Valanginian | TimSub | The age of this deep water Cysts is considered to be Valanginian
Cysts | Hauterivian | TimSub | The age of this deep water Cysts is considered to be Hauterivian
Cysts | Barremian | TimSub | The age of this deep water Cysts is considered to be Barremian
Cysts | Aptian | TimSub | The age of this deep water Cysts is considered to be Aptian
Cysts | Albian | TimSub | The age of this deep water Cysts is considered to be Albian
Cysts | Cenomanian | TimSub | The age of this deep water Cysts is considered to be Cenomanian
Cysts | Turonian | TimSub | The age of this deep water Cysts is considered to be Turonian
Cysts | Coniacian | TimSub | The age of this deep water Cysts is considered to be Coniacian
Cysts | Santonian | TimSub | The age of this deep water Cysts is considered to be Santonian
Cysts | Campanian | TimSub | The age of this deep water Cysts is considered to be Campanian
Cysts | Maastrichtian | TimSub | The age of this deep water Cysts is considered to be Maastrichtian
Foraminifers | Cretaceous | TimSub | The age of this deep water Foraminifers is considered to be Cretaceous
Foraminifers | Berriasian | TimSub | The age of this deep water Foraminifers is considered to be Berriasian
Foraminifers | Valanginian | TimSub | The age of this deep water Foraminifers is considered to be Valanginian
Foraminifers | Hauterivian | TimSub | The age of this deep water Foraminifers is considered to be Hauterivian
Foraminifers | Barremian | TimSub | The age of this deep water Foraminifers is considered to be Barremian
Foraminifers | Aptian | TimSub | The age of this deep water Foraminifers is considered to be Aptian
Foraminifers | Albian | TimSub | The age of this deep water Foraminifers is considered to be Albian
Foraminifers | Cenomanian | TimSub | The age of this deep water Foraminifers is considered to be Cenomanian
Foraminifers | Turonian | TimSub | The age of this deep water Foraminifers is considered to be Turonian
Foraminifers | Coniacian | TimSub | The age of this deep water Foraminifers is considered to be Coniacian
Foraminifers | Santonian | TimSub | The age of this deep water Foraminifers is considered to be Santonian
Foraminifers | Campanian | TimSub | The age of this deep water Foraminifers is considered to be Campanian
Foraminifers | Maastrichtian | TimSub | The age of this deep water Foraminifers is considered to be Maastrichtian
Calcipheres | Cretaceous | TimSub | The age of this deep water Calcipheres is considered to be Cretaceous
Calcipheres | Berriasian | TimSub | The age of this deep water Calcipheres is considered to be Berriasian
Calcipheres | Valanginian | TimSub | The age of this deep water Calcipheres is considered to be Valanginian
Calcipheres | Hauterivian | TimSub | The age of this deep water Calcipheres is considered to be Hauterivian
Calcipheres | Barremian | TimSub | The age of this deep water Calcipheres is considered to be Barremian
Calcipheres | Aptian | TimSub | The age of this deep water Calcipheres is considered to be Aptian
Calcipheres | Albian | TimSub | The age of this deep water Calcipheres is considered to be Albian
Calcipheres | Cenomanian | TimSub | The age of this deep water Calcipheres is considered to be Cenomanian
Calcipheres | Turonian | TimSub | The age of this deep water Calcipheres is considered to be Turonian
Calcipheres | Coniacian | TimSub | The age of this deep water Calcipheres is considered to be Coniacian
Calcipheres | Santonian | TimSub | The age of this deep water Calcipheres is considered to be Santonian
Calcipheres | Campanian | TimSub | The age of this deep water Calcipheres is considered to be Campanian
Calcipheres | Maastrichtian | TimSub | The age of this deep water Calcipheres is considered to be Maastrichtian
Calpionellid | Cretaceous | TimSub | The age of this deep water Calpionellid is considered to be Cretaceous
Calpionellid | Berriasian | TimSub | The age of this deep water Calpionellid is considered to be Berriasian
Calpionellid | Valanginian | TimSub | The age of this deep water Calpionellid is considered to be Valanginian
Calpionellid | Hauterivian | TimSub | The age of this deep water Calpionellid is considered to be Hauterivian
Calpionellid | Barremian | TimSub | The age of this deep water Calpionellid is considered to be Barremian
Calpionellid | Aptian | TimSub | The age of this deep water Calpionellid is considered to be Aptian
Calpionellid | Albian | TimSub | The age of this deep water Calpionellid is considered to be Albian
Calpionellid | Cenomanian | TimSub | The age of this deep water Calpionellid is considered to be Cenomanian
Calpionellid | Turonian | TimSub | The age of this deep water Calpionellid is considered to be Turonian
Calpionellid | Coniacian | TimSub | The age of this deep water Calpionellid is considered to be Coniacian
Calpionellid | Santonian | TimSub | The age of this deep water Calpionellid is considered to be Santonian
Calpionellid | Campanian | TimSub | The age of this deep water Calpionellid is considered to be Campanian
Calpionellid | Maastrichtian | TimSub | The age of this deep water Calpionellid is considered to be Maastrichtian
spicules | Cretaceous | TimSub | The age of this deep water spicules is considered to be Cretaceous
spicules | Berriasian | TimSub | The age of this deep water spicules is considered to be Berriasian
spicules | Valanginian | TimSub | The age of this deep water spicules is considered to be Valanginian
spicules | Hauterivian | TimSub | The age of this deep water spicules is considered to be Hauterivian
spicules | Barremian | TimSub | The age of this deep water spicules is considered to be Barremian
spicules | Aptian | TimSub | The age of this deep water spicules is considered to be Aptian
spicules | Albian | TimSub | The age of this deep water spicules is considered to be Albian
spicules | Cenomanian | TimSub | The age of this deep water spicules is considered to be Cenomanian
spicules | Turonian | TimSub | The age of this deep water spicules is considered to be Turonian
spicules | Coniacian | TimSub | The age of this deep water spicules is considered to be Coniacian
spicules | Santonian | TimSub | The age of this deep water spicules is considered to be Santonian
spicules | Campanian | TimSub | The age of this deep water spicules is considered to be Campanian
spicules | Maastrichtian | TimSub | The age of this deep water spicules is considered to be Maastrichtian
Radiolarians | Cretaceous | TimSub | The age of this deep water Radiolarians is considered to be Cretaceous
Radiolarians | Berriasian | TimSub | The age of this deep water Radiolarians is considered to be Berriasian
Radiolarians | Valanginian | TimSub | The age of this deep water Radiolarians is considered to be Valanginian
Radiolarians | Hauterivian | TimSub | The age of this deep water Radiolarians is considered to be Hauterivian
Radiolarians | Barremian | TimSub | The age of this deep water Radiolarians is considered to be Barremian
Radiolarians | Aptian | TimSub | The age of this deep water Radiolarians is considered to be Aptian
Radiolarians | Albian | TimSub | The age of this deep water Radiolarians is considered to be Albian
Radiolarians | Cenomanian | TimSub | The age of this deep water Radiolarians is considered to be Cenomanian
Radiolarians | Turonian | TimSub | The age of this deep water Radiolarians is considered to be Turonian
Radiolarians | Coniacian | TimSub | The age of this deep water Radiolarians is considered to be Coniacian
Radiolarians | Santonian | TimSub | The age of this deep water Radiolarians is considered to be Santonian
Radiolarians | Campanian | TimSub | The age of this deep water Radiolarians is considered to be Campanian
Radiolarians | Maastrichtian | TimSub | The age of this deep water Radiolarians is considered to be Maastrichtian
Nannofossils | Cretaceous | TimSub | The age of this deep water Nannofossils is considered to be Cretaceous
Nannofossils | Berriasian | TimSub | The age of this deep water Nannofossils is considered to be Berriasian
Nannofossils | Valanginian | TimSub | The age of this deep water Nannofossils is considered to be Valanginian
Nannofossils | Hauterivian | TimSub | The age of this deep water Nannofossils is considered to be Hauterivian
Nannofossils | Barremian | TimSub | The age of this deep water Nannofossils is considered to be Barremian
Nannofossils | Aptian | TimSub | The age of this deep water Nannofossils is considered to be Aptian
Nannofossils | Albian | TimSub | The age of this deep water Nannofossils is considered to be Albian
Nannofossils | Cenomanian | TimSub | The age of this deep water Nannofossils is considered to be Cenomanian
Nannofossils | Turonian | TimSub | The age of this deep water Nannofossils is considered to be Turonian
Nannofossils | Coniacian | TimSub | The age of this deep water Nannofossils is considered to be Coniacian
Nannofossils | Santonian | TimSub | The age of this deep water Nannofossils is considered to be Santonian
Nannofossils | Campanian | TimSub | The age of this deep water Nannofossils is considered to be Campanian
Nannofossils | Maastrichtian | TimSub | The age of this deep water Nannofossils is considered to be Maastrichtian
Tubes | Cretaceous | TimSub | The age of this deep water Tubes is considered to be Cretaceous
Tubes | Berriasian | TimSub | The age of this deep water Tubes is considered to be Berriasian
Tubes | Valanginian | TimSub | The age of this deep water Tubes is considered to be Valanginian
Tubes | Hauterivian | TimSub | The age of this deep water Tubes is considered to be Hauterivian
Tubes | Barremian | TimSub | The age of this deep water Tubes is considered to be Barremian
Tubes | Aptian | TimSub | The age of this deep water Tubes is considered to be Aptian
Tubes | Albian | TimSub | The age of this deep water Tubes is considered to be Albian
Tubes | Cenomanian | TimSub | The age of this deep water Tubes is considered to be Cenomanian
Tubes | Turonian | TimSub | The age of this deep water Tubes is considered to be Turonian
Tubes | Coniacian | TimSub | The age of this deep water Tubes is considered to be Coniacian
Tubes | Santonian | TimSub | The age of this deep water Tubes is considered to be Santonian
Tubes | Campanian | TimSub | The age of this deep water Tubes is considered to be Campanian
Tubes | Maastrichtian | TimSub | The age of this deep water Tubes is considered to be Maastrichtian
groups | Cretaceous | TimSub | The age of this deep water groups is considered to be Cretaceous
groups | Berriasian | TimSub | The age of this deep water groups is considered to be Berriasian
groups | Valanginian | TimSub | The age of this deep water groups is considered to be Valanginian
groups | Hauterivian | TimSub | The age of this deep water groups is considered to be Hauterivian
groups | Barremian | TimSub | The age of this deep water groups is considered to be Barremian
groups | Aptian | TimSub | The age of this deep water groups is considered to be Aptian
groups | Albian | TimSub | The age of this deep water groups is considered to be Albian
groups | Cenomanian | TimSub | The age of this deep water groups is considered to be Cenomanian
groups | Turonian | TimSub | The age of this deep water groups is considered to be Turonian
groups | Coniacian | TimSub | The age of this deep water groups is considered to be Coniacian
groups | Santonian | TimSub | The age of this deep water groups is considered to be Santonian
groups | Campanian | TimSub | The age of this deep water groups is considered to be Campanian
groups | Maastrichtian | TimSub | The age of this deep water groups is considered to be Maastrichtian
Archaeocyaths | Cretaceous | TimSub | The age of this deep water Archaeocyaths is considered to be Cretaceous
Archaeocyaths | Berriasian | TimSub | The age of this deep water Archaeocyaths is considered to be Berriasian
Archaeocyaths | Valanginian | TimSub | The age of this deep water Archaeocyaths is considered to be Valanginian
Archaeocyaths | Hauterivian | TimSub | The age of this deep water Archaeocyaths is considered to be Hauterivian
Archaeocyaths | Barremian | TimSub | The age of this deep water Archaeocyaths is considered to be Barremian
Archaeocyaths | Aptian | TimSub | The age of this deep water Archaeocyaths is considered to be Aptian
Archaeocyaths | Albian | TimSub | The age of this deep water Archaeocyaths is considered to be Albian
Archaeocyaths | Cenomanian | TimSub | The age of this deep water Archaeocyaths is considered to be Cenomanian
Archaeocyaths | Turonian | TimSub | The age of this deep water Archaeocyaths is considered to be Turonian
Archaeocyaths | Coniacian | TimSub | The age of this deep water Archaeocyaths is considered to be Coniacian
Archaeocyaths | Santonian | TimSub | The age of this deep water Archaeocyaths is considered to be Santonian
Archaeocyaths | Campanian | TimSub | The age of this deep water Archaeocyaths is considered to be Campanian
Archaeocyaths | Maastrichtian | TimSub | The age of this deep water Archaeocyaths is considered to be Maastrichtian
Sponges | Cretaceous | TimSub | The age of this deep water Sponges is considered to be Cretaceous
Sponges | Berriasian | TimSub | The age of this deep water Sponges is considered to be Berriasian
Sponges | Valanginian | TimSub | The age of this deep water Sponges is considered to be Valanginian
Sponges | Hauterivian | TimSub | The age of this deep water Sponges is considered to be Hauterivian
Sponges | Barremian | TimSub | The age of this deep water Sponges is considered to be Barremian
Sponges | Aptian | TimSub | The age of this deep water Sponges is considered to be Aptian
Sponges | Albian | TimSub | The age of this deep water Sponges is considered to be Albian
Sponges | Cenomanian | TimSub | The age of this deep water Sponges is considered to be Cenomanian
Sponges | Turonian | TimSub | The age of this deep water Sponges is considered to be Turonian
Sponges | Coniacian | TimSub | The age of this deep water Sponges is considered to be Coniacian
Sponges | Santonian | TimSub | The age of this deep water Sponges is considered to be Santonian
Sponges | Campanian | TimSub | The age of this deep water Sponges is considered to be Campanian
Sponges | Maastrichtian | TimSub | The age of this deep water Sponges is considered to be Maastrichtian
Stromatoporoids | Cretaceous | TimSub | The age of this deep water Stromatoporoids is considered to be Cretaceous
Stromatoporoids | Berriasian | TimSub | The age of this deep water Stromatoporoids is considered to be Berriasian
Stromatoporoids | Valanginian | TimSub | The age of this deep water Stromatoporoids is considered to be Valanginian
Stromatoporoids | Hauterivian | TimSub | The age of this deep water Stromatoporoids is considered to be Hauterivian
Stromatoporoids | Barremian | TimSub | The age of this deep water Stromatoporoids is considered to be Barremian
Stromatoporoids | Aptian | TimSub | The age of this deep water Stromatoporoids is considered to be Aptian
Stromatoporoids | Albian | TimSub | The age of this deep water Stromatoporoids is considered to be Albian
Stromatoporoids | Cenomanian | TimSub | The age of this deep water Stromatoporoids is considered to be Cenomanian
Stromatoporoids | Turonian | TimSub | The age of this deep water Stromatoporoids is considered to be Turonian
Stromatoporoids | Coniacian | TimSub | The age of this deep water Stromatoporoids is considered to be Coniacian
Stromatoporoids | Santonian | TimSub | The age of this deep water Stromatoporoids is considered to be Santonian
Stromatoporoids | Campanian | TimSub | The age of this deep water Stromatoporoids is considered to be Campanian
Stromatoporoids | Maastrichtian | TimSub | The age of this deep water Stromatoporoids is considered to be Maastrichtian
Corals | Cretaceous | TimSub | The age of this deep water Corals is considered to be Cretaceous
Corals | Berriasian | TimSub | The age of this deep water Corals is considered to be Berriasian
Corals | Valanginian | TimSub | The age of this deep water Corals is considered to be Valanginian
Corals | Hauterivian | TimSub | The age of this deep water Corals is considered to be Hauterivian
Corals | Barremian | TimSub | The age of this deep water Corals is considered to be Barremian
Corals | Aptian | TimSub | The age of this deep water Corals is considered to be Aptian
Corals | Albian | TimSub | The age of this deep water Corals is considered to be Albian
Corals | Cenomanian | TimSub | The age of this deep water Corals is considered to be Cenomanian
Corals | Turonian | TimSub | The age of this deep water Corals is considered to be Turonian
Corals | Coniacian | TimSub | The age of this deep water Corals is considered to be Coniacian
Corals | Santonian | TimSub | The age of this deep water Corals is considered to be Santonian
Corals | Campanian | TimSub | The age of this deep water Corals is considered to be Campanian
Corals | Maastrichtian | TimSub | The age of this deep water Corals is considered to be Maastrichtian
Hydrozoans | Cretaceous | TimSub | The age of this deep water Hydrozoans is considered to be Cretaceous
Hydrozoans | Berriasian | TimSub | The age of this deep water Hydrozoans is considered to be Berriasian
Hydrozoans | Valanginian | TimSub | The age of this deep water Hydrozoans is considered to be Valanginian
Hydrozoans | Hauterivian | TimSub | The age of this deep water Hydrozoans is considered to be Hauterivian
Hydrozoans | Barremian | TimSub | The age of this deep water Hydrozoans is considered to be Barremian
Hydrozoans | Aptian | TimSub | The age of this deep water Hydrozoans is considered to be Aptian
Hydrozoans | Albian | TimSub | The age of this deep water Hydrozoans is considered to be Albian
Hydrozoans | Cenomanian | TimSub | The age of this deep water Hydrozoans is considered to be Cenomanian
Hydrozoans | Turonian | TimSub | The age of this deep water Hydrozoans is considered to be Turonian
Hydrozoans | Coniacian | TimSub | The age of this deep water Hydrozoans is considered to be Coniacian
Hydrozoans | Santonian | TimSub | The age of this deep water Hydrozoans is considered to be Santonian
Hydrozoans | Campanian | TimSub | The age of this deep water Hydrozoans is considered to be Campanian
Hydrozoans | Maastrichtian | TimSub | The age of this deep water Hydrozoans is considered to be Maastrichtian
Corals | Cretaceous | TimSub | The age of this deep water Corals is considered to be Cretaceous
Corals | Berriasian | TimSub | The age of this deep water Corals is considered to be Berriasian
Corals | Valanginian | TimSub | The age of this deep water Corals is considered to be Valanginian
Corals | Hauterivian | TimSub | The age of this deep water Corals is considered to be Hauterivian
Corals | Barremian | TimSub | The age of this deep water Corals is considered to be Barremian
Corals | Aptian | TimSub | The age of this deep water Corals is considered to be Aptian
Corals | Albian | TimSub | The age of this deep water Corals is considered to be Albian
Corals | Cenomanian | TimSub | The age of this deep water Corals is considered to be Cenomanian
Corals | Turonian | TimSub | The age of this deep water Corals is considered to be Turonian
Corals | Coniacian | TimSub | The age of this deep water Corals is considered to be Coniacian
Corals | Santonian | TimSub | The age of this deep water Corals is considered to be Santonian
Corals | Campanian | TimSub | The age of this deep water Corals is considered to be Campanian
Corals | Maastrichtian | TimSub | The age of this deep water Corals is considered to be Maastrichtian
Octocorals | Cretaceous | TimSub | The age of this deep water Octocorals is considered to be Cretaceous
Octocorals | Berriasian | TimSub | The age of this deep water Octocorals is considered to be Berriasian
Octocorals | Valanginian | TimSub | The age of this deep water Octocorals is considered to be Valanginian
Octocorals | Hauterivian | TimSub | The age of this deep water Octocorals is considered to be Hauterivian
Octocorals | Barremian | TimSub | The age of this deep water Octocorals is considered to be Barremian
Octocorals | Aptian | TimSub | The age of this deep water Octocorals is considered to be Aptian
Octocorals | Albian | TimSub | The age of this deep water Octocorals is considered to be Albian
Octocorals | Cenomanian | TimSub | The age of this deep water Octocorals is considered to be Cenomanian
Octocorals | Turonian | TimSub | The age of this deep water Octocorals is considered to be Turonian
Octocorals | Coniacian | TimSub | The age of this deep water Octocorals is considered to be Coniacian
Octocorals | Santonian | TimSub | The age of this deep water Octocorals is considered to be Santonian
Octocorals | Campanian | TimSub | The age of this deep water Octocorals is considered to be Campanian
Octocorals | Maastrichtian | TimSub | The age of this deep water Octocorals is considered to be Maastrichtian
Hydrozoans | Cretaceous | TimSub | The age of this deep water Hydrozoans is considered to be Cretaceous
Hydrozoans | Berriasian | TimSub | The age of this deep water Hydrozoans is considered to be Berriasian
Hydrozoans | Valanginian | TimSub | The age of this deep water Hydrozoans is considered to be Valanginian
Hydrozoans | Hauterivian | TimSub | The age of this deep water Hydrozoans is considered to be Hauterivian
Hydrozoans | Barremian | TimSub | The age of this deep water Hydrozoans is considered to be Barremian
Hydrozoans | Aptian | TimSub | The age of this deep water Hydrozoans is considered to be Aptian
Hydrozoans | Albian | TimSub | The age of this deep water Hydrozoans is considered to be Albian
Hydrozoans | Cenomanian | TimSub | The age of this deep water Hydrozoans is considered to be Cenomanian
Hydrozoans | Turonian | TimSub | The age of this deep water Hydrozoans is considered to be Turonian
Hydrozoans | Coniacian | TimSub | The age of this deep water Hydrozoans is considered to be Coniacian
Hydrozoans | Santonian | TimSub | The age of this deep water Hydrozoans is considered to be Santonian
Hydrozoans | Campanian | TimSub | The age of this deep water Hydrozoans is considered to be Campanian
Hydrozoans | Maastrichtian | TimSub | The age of this deep water Hydrozoans is considered to be Maastrichtian
Bryozoans | Cretaceous | TimSub | The age of this deep water Bryozoans is considered to be Cretaceous
Bryozoans | Berriasian | TimSub | The age of this deep water Bryozoans is considered to be Berriasian
Bryozoans | Valanginian | TimSub | The age of this deep water Bryozoans is considered to be Valanginian
Bryozoans | Hauterivian | TimSub | The age of this deep water Bryozoans is considered to be Hauterivian
Bryozoans | Barremian | TimSub | The age of this deep water Bryozoans is considered to be Barremian
Bryozoans | Aptian | TimSub | The age of this deep water Bryozoans is considered to be Aptian
Bryozoans | Albian | TimSub | The age of this deep water Bryozoans is considered to be Albian
Bryozoans | Cenomanian | TimSub | The age of this deep water Bryozoans is considered to be Cenomanian
Bryozoans | Turonian | TimSub | The age of this deep water Bryozoans is considered to be Turonian
Bryozoans | Coniacian | TimSub | The age of this deep water Bryozoans is considered to be Coniacian
Bryozoans | Santonian | TimSub | The age of this deep water Bryozoans is considered to be Santonian
Bryozoans | Campanian | TimSub | The age of this deep water Bryozoans is considered to be Campanian
Bryozoans | Maastrichtian | TimSub | The age of this deep water Bryozoans is considered to be Maastrichtian
Brachipods | Cretaceous | TimSub | The age of this deep water Brachipods is considered to be Cretaceous
Brachipods | Berriasian | TimSub | The age of this deep water Brachipods is considered to be Berriasian
Brachipods | Valanginian | TimSub | The age of this deep water Brachipods is considered to be Valanginian
Brachipods | Hauterivian | TimSub | The age of this deep water Brachipods is considered to be Hauterivian
Brachipods | Barremian | TimSub | The age of this deep water Brachipods is considered to be Barremian
Brachipods | Aptian | TimSub | The age of this deep water Brachipods is considered to be Aptian
Brachipods | Albian | TimSub | The age of this deep water Brachipods is considered to be Albian
Brachipods | Cenomanian | TimSub | The age of this deep water Brachipods is considered to be Cenomanian
Brachipods | Turonian | TimSub | The age of this deep water Brachipods is considered to be Turonian
Brachipods | Coniacian | TimSub | The age of this deep water Brachipods is considered to be Coniacian
Brachipods | Santonian | TimSub | The age of this deep water Brachipods is considered to be Santonian
Brachipods | Campanian | TimSub | The age of this deep water Brachipods is considered to be Campanian
Brachipods | Maastrichtian | TimSub | The age of this deep water Brachipods is considered to be Maastrichtian
Mollusks | Cretaceous | TimSub | The age of this deep water Mollusks is considered to be Cretaceous
Mollusks | Berriasian | TimSub | The age of this deep water Mollusks is considered to be Berriasian
Mollusks | Valanginian | TimSub | The age of this deep water Mollusks is considered to be Valanginian
Mollusks | Hauterivian | TimSub | The age of this deep water Mollusks is considered to be Hauterivian
Mollusks | Barremian | TimSub | The age of this deep water Mollusks is considered to be Barremian
Mollusks | Aptian | TimSub | The age of this deep water Mollusks is considered to be Aptian
Mollusks | Albian | TimSub | The age of this deep water Mollusks is considered to be Albian
Mollusks | Cenomanian | TimSub | The age of this deep water Mollusks is considered to be Cenomanian
Mollusks | Turonian | TimSub | The age of this deep water Mollusks is considered to be Turonian
Mollusks | Coniacian | TimSub | The age of this deep water Mollusks is considered to be Coniacian
Mollusks | Santonian | TimSub | The age of this deep water Mollusks is considered to be Santonian
Mollusks | Campanian | TimSub | The age of this deep water Mollusks is considered to be Campanian
Mollusks | Maastrichtian | TimSub | The age of this deep water Mollusks is considered to be Maastrichtian
Gastropods | Cretaceous | TimSub | The age of this deep water Gastropods is considered to be Cretaceous
Gastropods | Berriasian | TimSub | The age of this deep water Gastropods is considered to be Berriasian
Gastropods | Valanginian | TimSub | The age of this deep water Gastropods is considered to be Valanginian
Gastropods | Hauterivian | TimSub | The age of this deep water Gastropods is considered to be Hauterivian
Gastropods | Barremian | TimSub | The age of this deep water Gastropods is considered to be Barremian
Gastropods | Aptian | TimSub | The age of this deep water Gastropods is considered to be Aptian
Gastropods | Albian | TimSub | The age of this deep water Gastropods is considered to be Albian
Gastropods | Cenomanian | TimSub | The age of this deep water Gastropods is considered to be Cenomanian
Gastropods | Turonian | TimSub | The age of this deep water Gastropods is considered to be Turonian
Gastropods | Coniacian | TimSub | The age of this deep water Gastropods is considered to be Coniacian
Gastropods | Santonian | TimSub | The age of this deep water Gastropods is considered to be Santonian
Gastropods | Campanian | TimSub | The age of this deep water Gastropods is considered to be Campanian
Gastropods | Maastrichtian | TimSub | The age of this deep water Gastropods is considered to be Maastrichtian
Bivavles | Cretaceous | TimSub | The age of this deep water Bivavles is considered to be Cretaceous
Bivavles | Berriasian | TimSub | The age of this deep water Bivavles is considered to be Berriasian
Bivavles | Valanginian | TimSub | The age of this deep water Bivavles is considered to be Valanginian
Bivavles | Hauterivian | TimSub | The age of this deep water Bivavles is considered to be Hauterivian
Bivavles | Barremian | TimSub | The age of this deep water Bivavles is considered to be Barremian
Bivavles | Aptian | TimSub | The age of this deep water Bivavles is considered to be Aptian
Bivavles | Albian | TimSub | The age of this deep water Bivavles is considered to be Albian
Bivavles | Cenomanian | TimSub | The age of this deep water Bivavles is considered to be Cenomanian
Bivavles | Turonian | TimSub | The age of this deep water Bivavles is considered to be Turonian
Bivavles | Coniacian | TimSub | The age of this deep water Bivavles is considered to be Coniacian
Bivavles | Santonian | TimSub | The age of this deep water Bivavles is considered to be Santonian
Bivavles | Campanian | TimSub | The age of this deep water Bivavles is considered to be Campanian
Bivavles | Maastrichtian | TimSub | The age of this deep water Bivavles is considered to be Maastrichtian
Cephalopods | Cretaceous | TimSub | The age of this deep water Cephalopods is considered to be Cretaceous
Cephalopods | Berriasian | TimSub | The age of this deep water Cephalopods is considered to be Berriasian
Cephalopods | Valanginian | TimSub | The age of this deep water Cephalopods is considered to be Valanginian
Cephalopods | Hauterivian | TimSub | The age of this deep water Cephalopods is considered to be Hauterivian
Cephalopods | Barremian | TimSub | The age of this deep water Cephalopods is considered to be Barremian
Cephalopods | Aptian | TimSub | The age of this deep water Cephalopods is considered to be Aptian
Cephalopods | Albian | TimSub | The age of this deep water Cephalopods is considered to be Albian
Cephalopods | Cenomanian | TimSub | The age of this deep water Cephalopods is considered to be Cenomanian
Cephalopods | Turonian | TimSub | The age of this deep water Cephalopods is considered to be Turonian
Cephalopods | Coniacian | TimSub | The age of this deep water Cephalopods is considered to be Coniacian
Cephalopods | Santonian | TimSub | The age of this deep water Cephalopods is considered to be Santonian
Cephalopods | Campanian | TimSub | The age of this deep water Cephalopods is considered to be Campanian
Cephalopods | Maastrichtian | TimSub | The age of this deep water Cephalopods is considered to be Maastrichtian
Scaphopods | Cretaceous | TimSub | The age of this deep water Scaphopods is considered to be Cretaceous
Scaphopods | Berriasian | TimSub | The age of this deep water Scaphopods is considered to be Berriasian
Scaphopods | Valanginian | TimSub | The age of this deep water Scaphopods is considered to be Valanginian
Scaphopods | Hauterivian | TimSub | The age of this deep water Scaphopods is considered to be Hauterivian
Scaphopods | Barremian | TimSub | The age of this deep water Scaphopods is considered to be Barremian
Scaphopods | Aptian | TimSub | The age of this deep water Scaphopods is considered to be Aptian
Scaphopods | Albian | TimSub | The age of this deep water Scaphopods is considered to be Albian
Scaphopods | Cenomanian | TimSub | The age of this deep water Scaphopods is considered to be Cenomanian
Scaphopods | Turonian | TimSub | The age of this deep water Scaphopods is considered to be Turonian
Scaphopods | Coniacian | TimSub | The age of this deep water Scaphopods is considered to be Coniacian
Scaphopods | Santonian | TimSub | The age of this deep water Scaphopods is considered to be Santonian
Scaphopods | Campanian | TimSub | The age of this deep water Scaphopods is considered to be Campanian
